1-n,InstanceID,BomberA,BomberB,FighterA,FighterB,Tanker,ISRDrone,Satellite,TotalCost,AcquisitionRiskRaw,AcquisitionRisk,RiskToMissionRaw,RiskToForceRaw,RiskToMission,RiskToForce,TotalRisk,ProbabilityOfSuccess,ForcePackage,RiskToCostRatio
13,SIM_0013,10,5,1107,228,30,16,379,284055,1.0,0.611111111111111,10.0,8.0,0.08333333333333333,0.99,0.558440304989866,0.44,"10x BomberA, 5x BomberB, 1107x FighterA, 228x FighterB, 30x Tanker, 16x ISRDrone, 379x Satellite",1.96595837
14,SIM_0014,13,29,253,436,24,140,38,123205,1.0,0.44444444444444453,10.0,8.0,0.01,0.9387755102040817,0.36773997163920935,0.63,"13x BomberA, 29x BomberB, 253x FighterA, 436x FighterB, 24x Tanker, 140x ISRDrone, 38x Satellite",2.98478123
15,SIM_0015,39,24,395,163,34,94,368,221530,1.0,0.26388888888888884,10.0,8.0,0.3472222222222223,0.8911564625850339,0.4391468005018821,0.56,"39x BomberA, 24x BomberB, 395x FighterA, 163x FighterB, 34x Tanker, 94x ISRDrone, 368x Satellite",1.98233558
16,SIM_0016,22,12,1100,514,24,65,792,448970,1.0,0.36111111111111116,10.0,8.0,0.01,0.99,0.3467143801088402,0.65,"22x BomberA, 12x BomberB, 1100x FighterA, 514x FighterB, 24x Tanker, 65x ISRDrone, 792x Satellite",0.77224398
17,SIM_0017,11,13,259,984,54,287,505,328755,1.0,0.5555555555555555,10.0,8.0,0.15277777777777776,0.99,0.5675350612132777,0.43,"11x BomberA, 13x BomberB, 259x FighterA, 984x FighterB, 54x Tanker, 287x ISRDrone, 505x Satellite",1.72631614
18,SIM_0018,34,3,245,654,55,272,747,373405,1.0,0.3194444444444444,10.0,8.0,0.041666666666666706,0.99,0.34016615562798375,0.66,"34x BomberA, 3x BomberB, 245x FighterA, 654x FighterB, 55x Tanker, 272x ISRDrone, 747x Satellite",0.91098447
19,SIM_0019,5,10,655,284,14,38,54,136640,1.0,0.625,10.0,8.0,0.041666666666666706,0.99,0.5402507925430424,0.46,"5x BomberA, 10x BomberB, 655x FighterA, 284x FighterB, 14x Tanker, 38x ISRDrone, 54x Satellite",3.95382606
20,SIM_0020,24,7,838,512,32,93,890,449415,1.0,0.3333333333333333,10.0,8.0,0.11111111111111113,0.99,0.39473469296845426,0.61,"24x BomberA, 7x BomberB, 838x FighterA, 512x FighterB, 32x Tanker, 93x ISRDrone, 890x Satellite",0.87833004
21,SIM_0021,39,34,200,517,46,117,984,427310,1.0,0.5833333333333333,10.0,8.0,0.2361111111111111,0.99,0.6402931110005717,0.36,"39x BomberA, 34x BomberB, 200x FighterA, 517x FighterB, 46x Tanker, 117x ISRDrone, 984x Satellite",1.49842763
22,SIM_0022,19,38,648,18,53,184,153,180060,1.0,0.5694444444444443,10.0,8.0,0.01,0.99,0.48313572346001643,0.52,"19x BomberA, 38x BomberB, 648x FighterA, 18x FighterB, 53x Tanker, 184x ISRDrone, 153x Satellite",2.68319295
23,SIM_0023,13,7,736,157,20,6,542,281235,1.0,0.5138888888888891,10.0,8.0,0.11111111111111113,0.99,0.5129665238728073,0.49,"13x BomberA, 7x BomberB, 736x FighterA, 157x FighterB, 20x Tanker, 6x ISRDrone, 542x Satellite",1.82397825
24,SIM_0024,0,23,826,573,21,253,155,240395,1.0,0.5555555555555555,10.0,8.0,0.05555555555555561,0.99,0.5038717676493952,0.5,"23x BomberB, 826x FighterA, 573x FighterB, 21x Tanker, 253x ISRDrone, 155x Satellite",2.09601601
25,SIM_0025,1,7,1059,762,26,66,58,235175,1.0,0.48611111111111127,10.0,8.0,0.01,0.99,0.42856718611954603,0.57,"1x BomberA, 7x BomberB, 1059x FighterA, 762x FighterB, 26x Tanker, 66x ISRDrone, 58x Satellite",1.8223331
26,SIM_0026,35,38,1106,53,49,239,44,218850,1.0,0.5833333333333333,10.0,8.0,0.20833333333333337,0.99,0.6221035985537482,0.38,"35x BomberA, 38x BomberB, 1106x FighterA, 53x FighterB, 49x Tanker, 239x ISRDrone, 44x Satellite",2.84260269
27,SIM_0027,24,25,1036,845,33,250,773,494235,1.0,0.18055555555555572,10.0,8.0,0.01,0.99,0.2284825492044875,0.77,"24x BomberA, 25x BomberB, 1036x FighterA, 845x FighterB, 33x Tanker, 250x ISRDrone, 773x Satellite",0.46229536
28,SIM_0028,21,27,1093,145,13,141,762,413665,1.0,0.44444444444444453,10.0,8.0,0.013888888888888902,0.99,0.403829449191866,0.6,"21x BomberA, 27x BomberB, 1093x FighterA, 145x FighterB, 13x Tanker, 141x ISRDrone, 762x Satellite",0.97622339
29,SIM_0029,38,28,18,239,47,121,717,294710,1.0,0.625,10.0,8.0,0.6805555555555557,0.7278911564625851,0.7869748242299158,0.21,"38x BomberA, 28x BomberB, 18x FighterA, 239x FighterB, 47x Tanker, 121x ISRDrone, 717x Satellite",2.67033634
30,SIM_0030,30,23,163,361,42,162,724,322425,1.0,0.37500000000000006,10.0,8.0,0.2638888888888889,0.99,0.5220612800962189,0.48,"30x BomberA, 23x BomberB, 163x FighterA, 361x FighterB, 42x Tanker, 162x ISRDrone, 724x Satellite",1.61917122
31,SIM_0031,19,16,404,351,11,66,477,252650,1.0,0.15277777777777793,10.0,8.0,0.2638888888888889,0.99,0.37654518052163083,0.62,"19x BomberA, 16x BomberB, 404x FighterA, 351x FighterB, 11x Tanker, 66x ISRDrone, 477x Satellite",1.49038267
32,SIM_0032,11,6,1020,30,30,177,753,381530,1.0,0.4722222222222224,10.0,8.0,0.027777777777777804,0.99,0.43111371786210145,0.57,"11x BomberA, 6x BomberB, 1020x FighterA, 30x FighterB, 30x Tanker, 177x ISRDrone, 753x Satellite",1.12996021
33,SIM_0033,32,15,1174,156,17,179,451,335675,1.0,0.625,10.0,8.0,0.09722222222222224,0.99,0.5766298174366895,0.42,"32x BomberA, 15x BomberB, 1174x FighterA, 156x FighterB, 17x Tanker, 179x ISRDrone, 451x Satellite",1.71782175
34,SIM_0034,11,8,794,295,8,228,187,212690,1.0,0.4722222222222224,10.0,8.0,0.06944444444444443,0.99,0.45839798653233665,0.54,"11x BomberA, 8x BomberB, 794x FighterA, 295x FighterB, 8x Tanker, 228x ISRDrone, 187x Satellite",2.15523996
35,SIM_0035,36,25,1121,1112,18,64,155,332895,1.0,0.3472222222222222,10.0,8.0,0.01,0.99,0.3376196238854285,0.66,"36x BomberA, 25x BomberB, 1121x FighterA, 1112x FighterB, 18x Tanker, 64x ISRDrone, 155x Satellite",1.01419253
36,SIM_0036,3,7,132,600,45,72,745,318895,1.0,0.43055555555555564,10.0,8.0,0.6111111111111112,0.99,0.78580921057516,0.21,"3x BomberA, 7x BomberB, 132x FighterA, 600x FighterB, 45x Tanker, 72x ISRDrone, 745x Satellite",2.46416285
37,SIM_0037,35,19,745,811,56,185,896,494305,1.0,0.23611111111111102,10.0,8.0,0.041666666666666706,0.99,0.2855976182875131,0.71,"35x BomberA, 19x BomberB, 745x FighterA, 811x FighterB, 56x Tanker, 185x ISRDrone, 896x Satellite",0.57777611
38,SIM_0038,8,6,213,1177,44,297,777,418260,1.0,0.36111111111111116,10.0,8.0,0.19444444444444448,0.99,0.46749274275574837,0.53,"8x BomberA, 6x BomberB, 213x FighterA, 1177x FighterB, 44x Tanker, 297x ISRDrone, 777x Satellite",1.11770847
39,SIM_0039,1,40,180,948,30,169,479,300260,1.0,0.5000000000000001,10.0,8.0,0.15277777777777776,0.99,0.5311560363196307,0.47,"1x BomberA, 40x BomberB, 180x FighterA, 948x FighterB, 30x Tanker, 169x ISRDrone, 479x Satellite",1.768987
40,SIM_0040,23,29,576,652,48,291,555,362075,1.0,0.18055555555555572,10.0,8.0,0.01,0.99,0.2284825492044875,0.77,"23x BomberA, 29x BomberB, 576x FighterA, 652x FighterB, 48x Tanker, 291x ISRDrone, 555x Satellite",0.63103652
41,SIM_0041,24,20,663,46,3,218,858,384420,1.0,0.41666666666666674,10.0,8.0,0.12500000000000003,0.99,0.45839798653233665,0.54,"24x BomberA, 20x BomberB, 663x FighterA, 46x FighterB, 3x Tanker, 218x ISRDrone, 858x Satellite",1.19244052
42,SIM_0042,30,18,828,830,2,80,527,373070,1.0,0.29166666666666663,10.0,8.0,0.11111111111111113,0.99,0.36745042429821906,0.63,"30x BomberA, 18x BomberB, 828x FighterA, 830x FighterB, 2x Tanker, 80x ISRDrone, 527x Satellite",0.98493694
43,SIM_0043,1,5,1036,853,33,39,663,420895,1.0,0.37500000000000006,10.0,8.0,0.01,0.99,0.355809136332252,0.64,"1x BomberA, 5x BomberB, 1036x FighterA, 853x FighterB, 33x Tanker, 39x ISRDrone, 663x Satellite",0.84536318
44,SIM_0044,26,2,948,362,47,16,78,198510,1.0,0.5694444444444443,10.0,8.0,0.041666666666666706,0.99,0.5038717676493952,0.5,"26x BomberA, 2x BomberB, 948x FighterA, 362x FighterB, 47x Tanker, 16x ISRDrone, 78x Satellite",2.53826894
45,SIM_0045,5,12,96,879,24,8,42,125510,1.0,0.9583333333333333,10.0,8.0,0.16666666666666666,0.99,0.8403777479156306,0.16,"5x BomberA, 12x BomberB, 96x FighterA, 879x FighterB, 24x Tanker, 8x ISRDrone, 42x Satellite",6.69570351
46,SIM_0046,3,38,107,373,57,3,144,123570,1.0,0.37500000000000006,10.0,8.0,0.2638888888888889,0.6394557823129251,0.29251705730810074,0.71,"3x BomberA, 38x BomberB, 107x FighterA, 373x FighterB, 57x Tanker, 3x ISRDrone, 144x Satellite",2.36721743
47,SIM_0047,28,16,70,509,38,123,368,210610,1.0,0.37500000000000006,10.0,8.0,0.11111111111111113,0.945578231292517,0.39293059030536115,0.61,"28x BomberA, 16x BomberB, 70x FighterA, 509x FighterB, 38x Tanker, 123x ISRDrone, 368x Satellite",1.8656787
48,SIM_0048,26,26,1163,733,45,122,15,263090,1.0,0.527777777777778,10.0,8.0,0.01,0.99,0.4558514547897815,0.54,"26x BomberA, 26x BomberB, 1163x FighterA, 733x FighterB, 45x Tanker, 122x ISRDrone, 15x Satellite",1.73268256
49,SIM_0049,24,13,947,671,23,13,988,501825,1.0,0.26388888888888884,10.0,8.0,0.01,0.99,0.28305108654495786,0.72,"24x BomberA, 13x BomberB, 947x FighterA, 671x FighterB, 23x Tanker, 13x ISRDrone, 988x Satellite",0.56404341
50,SIM_0050,10,9,1130,658,59,210,46,254495,1.0,0.4722222222222224,10.0,8.0,0.01,0.99,0.4194724298961343,0.58,"10x BomberA, 9x BomberB, 1130x FighterA, 658x FighterB, 59x Tanker, 210x ISRDrone, 46x Satellite",1.64825411
51,SIM_0051,30,28,139,196,28,283,389,213290,1.0,0.3472222222222222,10.0,8.0,0.6944444444444444,0.8231292517006804,0.6765384986599157,0.32,"30x BomberA, 28x BomberB, 139x FighterA, 196x FighterB, 28x Tanker, 283x ISRDrone, 389x Satellite",3.17191851
52,SIM_0052,31,13,251,270,28,19,76,109895,1.0,0.3194444444444444,10.0,8.0,0.38888888888888884,0.5986394557823128,0.3112633915645208,0.69,"31x BomberA, 13x BomberB, 251x FighterA, 270x FighterB, 28x Tanker, 19x ISRDrone, 76x Satellite",2.83237082
53,SIM_0053,22,28,501,898,12,61,194,241170,1.0,0.527777777777778,10.0,8.0,0.01,0.99,0.4558514547897815,0.54,"22x BomberA, 28x BomberB, 501x FighterA, 898x FighterB, 12x Tanker, 61x ISRDrone, 194x Satellite",1.8901665
54,SIM_0054,30,11,155,972,4,181,748,378935,1.0,0.2083333333333332,10.0,8.0,0.041666666666666706,0.99,0.26740810584068964,0.73,"30x BomberA, 11x BomberB, 155x FighterA, 972x FighterB, 4x Tanker, 181x ISRDrone, 748x Satellite",0.70568331
55,SIM_0055,8,39,885,831,15,265,841,491075,1.0,0.15277777777777793,10.0,8.0,0.013888888888888902,0.99,0.21283956850021915,0.79,"8x BomberA, 39x BomberB, 885x FighterA, 831x FighterB, 15x Tanker, 265x ISRDrone, 841x Satellite",0.43341561
56,SIM_0056,5,7,606,718,51,84,340,269335,1.0,0.3055555555555555,10.0,8.0,0.01,0.99,0.3103353552151932,0.69,"5x BomberA, 7x BomberB, 606x FighterA, 718x FighterB, 51x Tanker, 84x ISRDrone, 340x Satellite",1.1522281
57,SIM_0057,3,23,2,45,49,226,818,291875,1.0,0.7361111111111112,10.0,8.0,0.99,0.6326530612244897,0.99,0.01,"3x BomberA, 23x BomberB, 2x FighterA, 45x FighterB, 49x Tanker, 226x ISRDrone, 818x Satellite",3.39186296
58,SIM_0058,23,36,373,1190,21,10,919,473890,1.0,0.40277777777777785,10.0,8.0,0.16666666666666666,0.99,0.47658749897916025,0.52,"23x BomberA, 36x BomberB, 373x FighterA, 1190x FighterB, 21x Tanker, 10x ISRDrone, 919x Satellite",1.00569225
59,SIM_0059,35,12,1037,191,8,37,512,326860,1.0,0.37500000000000006,10.0,8.0,0.01,0.99,0.355809136332252,0.64,"35x BomberA, 12x BomberB, 1037x FighterA, 191x FighterB, 8x Tanker, 37x ISRDrone, 512x Satellite",1.08856739
60,SIM_0060,39,0,311,224,10,56,665,287510,1.0,0.527777777777778,10.0,8.0,0.2361111111111111,0.99,0.6039140861069249,0.4,"39x BomberA, 311x FighterA, 224x FighterB, 10x Tanker, 56x ISRDrone, 665x Satellite",2.10049767
61,SIM_0061,28,35,806,618,1,58,318,291345,1.0,0.44444444444444453,10.0,8.0,0.01,0.99,0.4012829174493109,0.6,"28x BomberA, 35x BomberB, 806x FighterA, 618x FighterB, 1x Tanker, 58x ISRDrone, 318x Satellite",1.37734616
62,SIM_0062,0,9,318,89,23,297,794,320405,1.0,0.6805555555555556,10.0,8.0,0.48611111111111116,0.99,0.8676620165858657,0.13,"9x BomberB, 318x FighterA, 89x FighterB, 23x Tanker, 297x ISRDrone, 794x Satellite",2.70801647
63,SIM_0063,21,37,707,93,40,258,873,415585,1.0,0.4722222222222224,10.0,8.0,0.01,0.99,0.4194724298961343,0.58,"21x BomberA, 37x BomberB, 707x FighterA, 93x FighterB, 40x Tanker, 258x ISRDrone, 873x Satellite",1.00935412
64,SIM_0064,29,28,203,836,56,162,200,221870,1.0,0.5694444444444443,10.0,8.0,0.15277777777777776,0.99,0.5766298174366894,0.42,"29x BomberA, 28x BomberB, 203x FighterA, 836x FighterB, 56x Tanker, 162x ISRDrone, 200x Satellite",2.59895352
65,SIM_0065,9,40,1094,911,11,99,139,298920,1.0,0.36111111111111116,10.0,8.0,0.01,0.99,0.3467143801088402,0.65,"9x BomberA, 40x BomberB, 1094x FighterA, 911x FighterB, 11x Tanker, 99x ISRDrone, 139x Satellite",1.15989021
66,SIM_0066,23,32,643,351,56,3,576,323260,1.0,0.29166666666666663,10.0,8.0,0.15277777777777776,0.99,0.39473469296845426,0.61,"23x BomberA, 32x BomberB, 643x FighterA, 351x FighterB, 56x Tanker, 3x ISRDrone, 576x Satellite",1.2211059
67,SIM_0067,12,29,1180,116,20,96,877,448915,1.0,0.44444444444444453,10.0,8.0,0.01,0.99,0.4012829174493109,0.6,"12x BomberA, 29x BomberB, 1180x FighterA, 116x FighterB, 20x Tanker, 96x ISRDrone, 877x Satellite",0.8938951
68,SIM_0068,33,32,616,1103,15,105,426,357520,1.0,0.40277777777777785,10.0,8.0,0.06944444444444443,0.99,0.41292420541527786,0.59,"33x BomberA, 32x BomberB, 616x FighterA, 1103x FighterB, 15x Tanker, 105x ISRDrone, 426x Satellite",1.15496813
69,SIM_0069,24,34,170,916,1,8,342,244850,1.0,0.7083333333333334,10.0,8.0,0.19444444444444448,0.99,0.6948616483410424,0.31,"24x BomberA, 34x BomberB, 170x FighterA, 916x FighterB, 1x Tanker, 8x ISRDrone, 342x Satellite",2.83790749
70,SIM_0070,27,16,169,184,58,20,317,168470,1.0,0.43055555555555564,10.0,8.0,0.20833333333333337,0.5238095238095238,0.21678929120295798,0.78,"27x BomberA, 16x BomberB, 169x FighterA, 184x FighterB, 58x Tanker, 20x ISRDrone, 317x Satellite",1.28681244
71,SIM_0071,1,21,436,831,40,149,304,257755,1.0,0.4722222222222224,10.0,8.0,0.12500000000000003,0.99,0.4947770114259837,0.51,"1x BomberA, 21x BomberB, 436x FighterA, 831x FighterB, 40x Tanker, 149x ISRDrone, 304x Satellite",1.9195632
72,SIM_0072,31,11,916,768,50,185,333,334545,1.0,0.3333333333333333,10.0,8.0,0.05555555555555561,0.99,0.35835566807480723,0.64,"31x BomberA, 11x BomberB, 916x FighterA, 768x FighterB, 50x Tanker, 185x ISRDrone, 333x Satellite",1.07117329
73,SIM_0073,34,37,285,804,58,184,79,201575,1.0,0.5555555555555555,10.0,8.0,0.3055555555555556,0.99,0.6675773796708069,0.33,"34x BomberA, 37x BomberB, 285x FighterA, 804x FighterB, 58x Tanker, 184x ISRDrone, 79x Satellite",3.31180642
74,SIM_0074,17,8,558,445,4,27,121,164060,1.0,0.37500000000000006,10.0,8.0,0.01,0.99,0.355809136332252,0.64,"17x BomberA, 8x BomberB, 558x FighterA, 445x FighterB, 4x Tanker, 27x ISRDrone, 121x Satellite",2.16877445
75,SIM_0075,17,15,322,58,60,55,599,256365,1.0,0.44444444444444453,10.0,8.0,0.4444444444444445,0.7414965986394558,0.523041286481109,0.48,"17x BomberA, 15x BomberB, 322x FighterA, 58x FighterB, 60x Tanker, 55x ISRDrone, 599x Satellite",2.04022112
76,SIM_0076,33,2,359,399,56,216,55,148100,1.0,0.27777777777777773,10.0,8.0,0.01,0.99,0.2921458427683696,0.71,"33x BomberA, 2x BomberB, 359x FighterA, 399x FighterB, 56x Tanker, 216x ISRDrone, 55x Satellite",1.97262554
77,SIM_0077,27,1,993,677,11,129,820,461775,1.0,0.26388888888888884,10.0,8.0,0.01,0.99,0.28305108654495786,0.72,"27x BomberA, 1x BomberB, 993x FighterA, 677x FighterB, 11x Tanker, 129x ISRDrone, 820x Satellite",0.61296321
78,SIM_0078,14,3,255,579,41,247,796,366035,1.0,0.3194444444444444,10.0,8.0,0.2777777777777778,0.99,0.4947770114259837,0.51,"14x BomberA, 3x BomberB, 255x FighterA, 579x FighterB, 41x Tanker, 247x ISRDrone, 796x Satellite",1.3517205
79,SIM_0079,7,22,568,278,40,254,208,202720,1.0,0.24999999999999992,10.0,8.0,0.22222222222222227,0.99,0.41292420541527786,0.59,"7x BomberA, 22x BomberB, 568x FighterA, 278x FighterB, 40x Tanker, 254x ISRDrone, 208x Satellite",2.03691893
80,SIM_0080,38,21,763,1030,28,228,810,493995,1.0,0.22222222222222213,10.0,8.0,0.01,0.99,0.25576681787472255,0.74,"38x BomberA, 21x BomberB, 763x FighterA, 1030x FighterB, 28x Tanker, 228x ISRDrone, 810x Satellite",0.51775184
81,SIM_0081,37,30,218,112,12,57,354,185450,1.0,0.29166666666666663,10.0,8.0,0.3055555555555556,0.4965986394557823,0.17168672462563023,0.83,"37x BomberA, 30x BomberB, 218x FighterA, 112x FighterB, 12x Tanker, 57x ISRDrone, 354x Satellite",0.92578444
82,SIM_0082,19,34,375,670,57,147,818,407490,1.0,0.24999999999999992,10.0,8.0,0.01,0.99,0.27395633032154615,0.73,"19x BomberA, 34x BomberB, 375x FighterA, 670x FighterB, 57x Tanker, 147x ISRDrone, 818x Satellite",0.67230197
83,SIM_0083,35,13,103,206,43,262,181,144005,1.0,0.19444444444444461,10.0,8.0,0.625,0.44897959183673464,0.2860208028628068,0.71,"35x BomberA, 13x BomberB, 103x FighterA, 206x FighterB, 43x Tanker, 262x ISRDrone, 181x Satellite",1.98618661
84,SIM_0084,24,0,395,775,57,290,542,337060,1.0,0.38888888888888895,10.0,8.0,0.16666666666666666,0.99,0.46749274275574837,0.53,"24x BomberA, 395x FighterA, 775x FighterB, 57x Tanker, 290x ISRDrone, 542x Satellite",1.38697188
85,SIM_0085,21,31,380,789,7,141,839,416425,1.0,0.29166666666666663,10.0,8.0,0.13888888888888895,0.99,0.38563993674504254,0.61,"21x BomberA, 31x BomberB, 380x FighterA, 789x FighterB, 7x Tanker, 141x ISRDrone, 839x Satellite",0.92607297
86,SIM_0086,35,11,551,965,21,114,48,215535,1.0,0.5416666666666669,10.0,8.0,0.01,0.99,0.4649462110131932,0.54,"35x BomberA, 11x BomberB, 551x FighterA, 965x FighterB, 21x Tanker, 114x ISRDrone, 48x Satellite",2.15717267
87,SIM_0087,5,29,564,959,52,10,256,267165,1.0,0.3194444444444444,10.0,8.0,0.027777777777777804,0.99,0.33107139940457203,0.67,"5x BomberA, 29x BomberB, 564x FighterA, 959x FighterB, 52x Tanker, 10x ISRDrone, 256x Satellite",1.23920199
88,SIM_0088,12,27,909,1001,19,156,40,258065,1.0,0.43055555555555564,10.0,8.0,0.01,0.99,0.392188161225899,0.61,"12x BomberA, 27x BomberB, 909x FighterA, 1001x FighterB, 19x Tanker, 156x ISRDrone, 40x Satellite",1.51972628
89,SIM_0089,37,36,388,962,27,209,916,478680,1.0,0.22222222222222213,10.0,8.0,0.01,0.99,0.25576681787472255,0.74,"37x BomberA, 36x BomberB, 388x FighterA, 962x FighterB, 27x Tanker, 209x ISRDrone, 916x Satellite",0.53431691
90,SIM_0090,24,13,1181,1077,8,174,553,451795,1.0,0.3055555555555555,10.0,8.0,0.01,0.99,0.3103353552151932,0.69,"24x BomberA, 13x BomberB, 1181x FighterA, 1077x FighterB, 8x Tanker, 174x ISRDrone, 553x Satellite",0.68689418
91,SIM_0091,28,19,47,206,52,180,926,354025,1.0,0.611111111111111,10.0,8.0,0.38888888888888884,0.99,0.7585249419049245,0.24,"28x BomberA, 19x BomberB, 47x FighterA, 206x FighterB, 52x Tanker, 180x ISRDrone, 926x Satellite",2.14257451
92,SIM_0092,38,14,193,57,30,192,933,358990,1.0,0.6805555555555556,10.0,8.0,0.4444444444444445,0.99,0.8403777479156306,0.16,"38x BomberA, 14x BomberB, 193x FighterA, 57x FighterB, 30x Tanker, 192x ISRDrone, 933x Satellite",2.3409503
93,SIM_0093,13,4,394,1062,29,48,218,237470,1.0,0.625,10.0,8.0,0.01,0.99,0.5195147483536636,0.48,"13x BomberA, 4x BomberB, 394x FighterA, 1062x FighterB, 29x Tanker, 48x ISRDrone, 218x Satellite",2.18770686
94,SIM_0094,32,30,1015,648,12,229,338,342620,1.0,0.36111111111111116,10.0,8.0,0.09722222222222224,0.99,0.40382944919186614,0.6,"32x BomberA, 30x BomberB, 1015x FighterA, 648x FighterB, 12x Tanker, 229x ISRDrone, 338x Satellite",1.17865113
95,SIM_0095,16,6,748,1198,41,94,228,305450,1.0,0.41666666666666674,10.0,8.0,0.01,0.99,0.3830934050024873,0.62,"16x BomberA, 6x BomberB, 748x FighterA, 1198x FighterB, 41x Tanker, 94x ISRDrone, 228x Satellite",1.2541935
96,SIM_0096,1,11,1100,122,12,51,787,392825,1.0,0.41666666666666674,10.0,8.0,0.013888888888888902,0.99,0.38563993674504254,0.61,"1x BomberA, 11x BomberB, 1100x FighterA, 122x FighterB, 12x Tanker, 51x ISRDrone, 787x Satellite",0.98170925
97,SIM_0097,6,34,743,1010,29,94,748,447690,1.0,0.27777777777777773,10.0,8.0,0.01,0.99,0.2921458427683696,0.71,"6x BomberA, 34x BomberB, 743x FighterA, 1010x FighterB, 29x Tanker, 94x ISRDrone, 748x Satellite",0.65256281
98,SIM_0098,37,6,458,606,6,81,838,398530,1.0,0.40277777777777785,10.0,8.0,0.01,0.99,0.37399864877907557,0.63,"37x BomberA, 6x BomberB, 458x FighterA, 606x FighterB, 6x Tanker, 81x ISRDrone, 838x Satellite",0.93844541
99,SIM_0099,7,40,172,434,46,227,200,175600,1.0,0.3472222222222222,10.0,8.0,0.09722222222222224,0.945578231292517,0.365646321635126,0.63,"7x BomberA, 40x BomberB, 172x FighterA, 434x FighterB, 46x Tanker, 227x ISRDrone, 200x Satellite",2.08226835
100,SIM_0100,24,31,790,312,29,100,112,201745,1.0,0.5138888888888891,10.0,8.0,0.01,0.99,0.4467566985663696,0.55,"24x BomberA, 31x BomberB, 790x FighterA, 312x FighterB, 29x Tanker, 100x ISRDrone, 112x Satellite",2.21446231
101,SIM_0101,18,17,778,616,53,205,342,303525,1.0,0.41666666666666674,10.0,8.0,0.20833333333333337,0.99,0.5129665238728072,0.49,"18x BomberA, 17x BomberB, 778x FighterA, 616x FighterB, 53x Tanker, 205x ISRDrone, 342x Satellite",1.69003055
